project_no|year|project_name|project_description|sector|ward|zone|location|work_item|approval_status|approval_comment|amount_zmw|amount_type|implementation_status|source_url|source_page|notes
2|2026|Construction of a 2 No.1x3 CRB,1 Ablution Block,2 Staff Houses and 1 borehole|||Njame|Chilindi; Namabuyu|Chilindi Primary School; Namabuyu Primary School|Staff houses; 1 solar powered borehole|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|1|One numbered entry covers two schools; sites and corresponding work items are separated by semicolons in source order.
3|2026|Construction of sports facility (phase 2)|||Chirundu Central|Mandenga|Mandenga|Construction of sports facility (phase 2- Construction of Terraces,Wire fencing of football pitch,Grand stand and water reticulation)|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|1|
4|2026|Solar Powered Boreholes|||Kanyanga|||Solar Powered Boreholes|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|1|
5|2026|Construction of 3 no. Crossing Points in Simaundu|||Mushungu|Siabulembu|Siabulembu|Siabulembo road|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|1|
6|2026|Construction of 1x3CRB and Ablution Block at Sianzembwe|||Ngombe Ilede|Sianzembwe|Sianzembwe community|1x3 CRB|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|1|
7|2026|Construction of 2 bedroomed staff house|||Lusitu|||2 Bedroom Staff House|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|
8|2026|Construction of 2 Staff Houses at Shangwemu|||Musaya|Shangwemu|Shyangwemu clinic|2 Bedroom Staff Houses|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|Project/zone spell Shangwemu; location spells Shyangwemu. Source wording retained.
9|2026|Water Reticulation system in Chibende & Lusumpuko|||Chirundu West|Chibende & Lusumpuko|Chibende and Lusumpuko|Water Reticulation system in Chibende & Lusumpuko|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|
10|2026|Water Reticulation in Mateaunga|||Nkaddabwe|Nkaddabwe|Mateaungu|Water Reticulation|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|Project name says Mateaunga; location says Mateaungu. Source wording retained.
11|2026|Construction of 1 teachers Houses and Ablution Block in Chiwena|||Kapululira|Chiwena|Chiwena|1 staff Houses|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|
12|2026|Construction of Staff House at Hachibubba School|||Sikoongo|Hachibbuba|Hachibbuba|1 staff House|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|Project name spells Hachibubba; zone/location spell Hachibbuba. Source wording retained.
13|2026|Construction of Solar Powered Borehole|||Sikoongo|Hachibbuba|Hachibbuba|1 Solar Powered Borehole|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|
14|2026|Completion of 2 Staff Houses at Pambazana Primary School (2024 project)|||Ngombe Ilede|Pambazana|Pambazana School|Completion of P 2 Staff Houses at pambazana Primary (2024 project)|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|2026 list entry refers to completion work on a 2024 project; it is not evidence that the work is complete.
15|2026|Completion of Siabulembo Staff House and Ablution Block(2024 Project)|||Mushungu|Siabulembo|Siabulembo School|Completion of Siabulembo Staff House and Ablution Block(2024 Project)|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|2|2026 list entry refers to completion work on a 2024 project; it is not evidence that the work is complete.
16|2026|Variation (Construction of 2 courses and columns at stadium)|||Chirundu Central||Sports Facility|Construction of 2 courses and supports|Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|3|
17|2026|Maintenance of heavy duty machinery|||All Wards||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|3|
18|2026|Presidential Constituency Energy Initiative (PCEI)|||All Wards||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|3|
19|2026|Procurement of Desks|||All Wards||||Approved list|||||http://www.chirunducouncil.gov.zm/wp-content/uploads/2026/05/2026-Approved-CDF-Community-Projects.pdf|3|
